id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
6045578,2023-08-11T17:30:00,2023-08-11T13:30:00,0.298,2023-06-05T00:00:00,horse_racing,1,0.655,Colonial Downs,US,VA,0.43,15,153.0,67.0,33.0,365.0,37.0,sports,Colonial Downs Live Racing,15,0.29,None,0,0.0,0
6045663,2023-08-11T17:50:00,2023-08-11T12:50:00,0.298,2023-06-05T00:00:00,horse_racing,1,0.655,Ellis Park Racing and Gaming,US,KY,0.36,9,152.0,35.0,33.0,78.0,33.0,sports,Ellis Park Racing & Gaming,9,0.25,None,0,0.0,0
6071677,2023-08-11T18:00:00,2023-08-11T11:00:00,0.305,2023-06-26T00:00:00,concert,1,0.654,Ayu Dayclub,US,NV,0.43,13,2.0,89.0,77.0,104.0,78.0,concert,Cheat Codes,2,0.45,None,0,0.0,0
5903690,2023-08-11T18:00:00,2023-08-11T14:00:00,0.406,2022-12-28T00:00:00,family,1,0.711,Lucas Oil Stadium,US,IN,0.87,19,385.0,144.0,102.0,225.0,137.0,theater,Drum Corps International - DCI,2,0.51,None,0,0.0,0
5948015,2023-08-11T18:00:00,2023-08-11T11:00:00,0.266,2023-02-16T00:00:00,music_festival,1,0.621,Prospera Place,Canada,BC,0.56,41,5.0,186.0,133.0,365.0,149.0,concert,Rock The Lake Festival,1,0.27,None,0,0.0,0
6033405,2023-08-11T18:00:00,2023-08-11T14:00:00,0.37,2023-05-19T00:00:00,broadway_tickets_national,1,0.69,Stratford Festival Theatre,Canada,ON,0.54,67,2.0,135.0,135.0,138.0,135.0,theater,Rent,89,0.38,None,0,0.0,0
5982140,2023-08-11T18:00:00,2023-08-11T14:00:00,0.399,2023-03-28T00:00:00,horse_racing,1,0.699,Monmouth Park,US,NJ,0.67,32,61.0,5.0,5.0,5.0,5.0,sports,Monmouth Park,32,0.46,None,0,0.0,0
5982129,2023-08-11T18:00:00,2023-08-11T14:00:00,0.407,2023-03-28T00:00:00,horse_racing,1,0.703,Monmouth Park,US,NJ,0.67,32,27.0,6.0,6.0,6.0,6.0,sports,Monmouth Park,32,0.46,None,0,0.0,0
5770860,2023-08-11T18:59:00,2023-08-11T03:30:00,0.749,2022-08-08T00:00:00,music_festival,76,0.873,Golden Gate Park,US,CA,0.69,4,13.0,4963.0,1693.0,15551.0,2470.0,concert,Outside Lands Music Festival,4,0.68,Janelle Monae,32,0.55,0
6031728,2023-08-11T19:00:00,2023-08-11T12:00:00,0.256,2023-05-19T00:00:00,auto_racing,1,0.651,Evergreen Speedway,US,WA,0.31,2,5.0,109.0,96.0,126.0,106.0,sports,Formula Drift,5,0.39,None,0,0.0,0
