id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
6065174,2023-08-04T16:00:00,2023-08-04T12:00:00,0.865,2023-06-20T00:00:00,tennis,1,0.923,Fitzgerald Tennis Stadium at Rock Creek Park Tennis Center,US,DC,0.82,9,162.0,255.0,60.0,2880.0,239.0,sports,Mubadala Citi DC Open,9,0.75,None,0,0.0,0
6012504,2023-08-04T16:00:00,2023-08-04T11:00:00,0.505,2023-05-02T00:00:00,family,1,0.739,NRG Stadium,US,TX,0.9,45,561.0,99.0,50.0,993.0,93.0,theater,Jurassic World Live Tour,114,0.51,None,0,0.0,0
5861158,2023-08-04T16:00:00,2023-08-04T12:00:00,0.49,2022-11-03T00:00:00,music_festival,1,0.675,Downsview Park,Canada,ON,0.37,4,1.0,329.0,329.0,329.0,329.0,concert,Veld Music Festival,4,0.33,None,0,0.0,0
5999151,2023-08-04T16:00:00,2023-08-04T12:00:00,0.345,2023-04-16T00:00:00,family,2,0.659,Cross Insurance Center,US,ME,0.6,17,5.0,48.0,37.0,60.0,49.0,theater,Bangor State Fair,4,0.18,Jameson Rodgers,6,0.6,0
6062503,2023-08-04T16:00:00,2023-08-04T12:00:00,0.22,2023-06-20T00:00:00,music_festival,1,0.631,Legend Valley,US,OH,0.49,7,2.0,337.0,287.0,389.0,294.0,concert,Everwild Music Festival,3,0.28,None,0,0.0,0
6037591,2023-08-04T17:00:00,2023-08-04T13:00:00,0.291,2023-05-27T00:00:00,comedy,1,0.639,F.M. Kirby Center,US,PA,0.57,43,10.0,102.0,26.0,580.0,38.0,theater,Blazing Saddles,2,0.2,None,0,0.0,0
5766705,2023-08-04T17:00:00,2023-08-04T12:00:00,0.776,2022-08-02T00:00:00,music_festival,30,0.887,Grant Park,US,IL,0.73,5,4.0,1539.0,592.0,2682.0,622.0,concert,Lollapalooza,5,0.74,Thirty Seconds to Mars,11,0.75,0
6045570,2023-08-04T17:30:00,2023-08-04T13:30:00,0.303,2023-06-05T00:00:00,horse_racing,1,0.643,Colonial Downs,US,VA,0.44,18,353.0,89.0,37.0,162.0,86.0,sports,Colonial Downs Live Racing,18,0.29,None,0,0.0,0
6045652,2023-08-04T17:50:00,2023-08-04T12:50:00,0.303,2023-06-05T00:00:00,horse_racing,1,0.643,Ellis Park Racing and Gaming,US,KY,0.39,12,175.0,33.0,33.0,42.0,33.0,sports,Ellis Park Racing & Gaming,12,0.26,None,0,0.0,0
6071676,2023-08-04T18:00:00,2023-08-04T11:00:00,0.316,2023-06-26T00:00:00,concert,1,0.643,Ayu Dayclub,US,NV,0.44,15,2.0,94.0,79.0,109.0,81.0,concert,Jonas Blue,2,0.35,None,0,0.0,0
5982119,2023-08-04T18:00:00,2023-08-04T14:00:00,0.346,2023-03-28T00:00:00,horse_racing,1,0.655,Monmouth Park,US,NJ,0.67,38,27.0,6.0,6.0,6.0,6.0,sports,Monmouth Park,38,0.46,None,0,0.0,0
5982102,2023-08-04T18:00:00,2023-08-04T14:00:00,0.381,2023-03-28T00:00:00,horse_racing,1,0.674,Monmouth Park,US,NJ,0.67,38,70.0,5.0,5.0,5.0,5.0,sports,Monmouth Park,38,0.46,None,0,0.0,0
5995691,2023-08-04T18:00:00,2023-08-04T13:00:00,0.418,2023-04-12T00:00:00,concert,4,0.697,Westfair Amphitheater,US,IA,0.56,2,29.0,116.0,40.0,600.0,72.0,concert,Motionless in White,43,0.54,In This Moment,33,0.49,0
5785012,2023-08-04T18:20:00,2023-08-04T13:20:00,0.878,2022-08-24T00:00:00,mlb,2,0.93,Wrigley Field,US,IL,0.92,113,708.0,147.0,35.0,11686.0,104.0,sports,Chicago Cubs,217,0.68,Atlanta Braves,233,0.7,0
6099486,2023-08-04T19:00:00,2023-08-04T12:00:00,0.426,2023-01-08T00:00:00,music_festival,1,0.705,Gorge Amphitheatre,US,WA,0.77,15,12.0,396.0,254.0,795.0,374.0,concert,Watershed Festival,4,0.47,None,0,0.0,0
5961510,2023-08-04T19:00:00,2023-08-04T14:00:00,0.393,2023-03-03T00:00:00,olympic_sports,3,0.664,Now Arena,US,IL,0.65,23,599.0,75.0,31.0,109.0,65.0,sports,US Classic - Gymnastics,6,0.52,USA Gymnastics,17,0.47,0
5889168,2023-08-04T19:00:00,2023-08-04T14:00:00,0.271,2022-12-05T00:00:00,music_festival,1,0.652,Soo Pass Ranch,US,MN,0.52,4,2.0,359.0,350.0,371.0,357.0,concert,WE Fest,4,0.51,None,0,0.0,0
